,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G2.3.1,25,25,1.4708959497511387e-05,0.0015974999987520278,0.005712041980586946,0.0030331669840961695,1.5624973457306623e-05,0.0016769159701652825,0.022414290986489505,0.00318341696402058,1.4843741761675725e-05,0.001638925930133975,0.005982005255813336,0.0030913554086199418,1.7206274801799446e-07,1.0631883583105791e-05,0.0013318003648122225,2.388566496066285e-05
G2.3.2,25,25,1.2707954738289118e-05,0.001356207998469472,0.004819125053472817,0.0023481250391341746,1.3415992725640535e-05,0.0014749999972991645,0.006171957997139543,0.0024333749897778034,1.284418006738027e-05,0.0013859685444562086,0.004937409637282166,0.0023953103874445898,1.353752989541583e-07,1.1524594503865555e-05,0.00014324057610609053,2.2211035409051384e-05
G2.3.3,25,25,1.291697844862938e-05,0.001356958004180342,0.00481541600311175,0.0023397920303978026,1.3708020560443401e-05,0.004063208005391061,0.004967332992237061,0.002846334013156593,1.3125158147886395e-05,0.0013893731784944904,0.004902447676274688,0.0023994400018479333,2.9207451844195715e-07,0.00010340693141812017,1.245922941841059e-05,4.795543889422746e-05
G4.2.1,25,25,1.3707962352782488e-05,0.0015172919956967235,0.005386167031247169,0.0026346659869886935,1.4499993994832039e-05,0.002330999996047467,0.0055299169616773725,0.003185250039678067,1.3804640620946885e-05,0.0015557345237352267,0.005500099379181241,0.0027003202922842515,9.455724390325455e-08,4.510008250673229e-05,1.6495695618545052e-05,5.8989685527797825e-05
G4.2.2,25,25,1.3459008187055588e-05,0.0015355829964391887,0.005423333030194044,0.002887000038754195,1.4459015801548958e-05,0.0019298749975860119,0.005636917019728571,0.0043663340038619936,1.3552673044614494e-05,0.0015711899594802316,0.005534982192011988,0.002959665400819664,1.1193896209506052e-07,3.8250515697422667e-05,1.606858747648246e-05,0.0001012813130788482
G4.2.3,25,25,1.4749995898455381e-05,0.0016524169477634132,0.005906666978262365,0.00289574998896569,1.5833007637411356e-05,0.002006333030294627,0.007240750011987984,0.003353083971887827,1.492490409873426e-05,0.001685121605076627,0.006048082842834539,0.00294727687538345,3.225569585311272e-07,1.6552276618189756e-05,0.00015402122827921002,3.3439086828383184e-05
G2.3.1,25,50,1.4792021829634905e-05,0.003106833028141409,0.011154707986861467,0.005860290955752134,1.5707977581769228e-05,0.0035448340349830687,0.012622041045688093,0.006445375038310885,1.5088001317862007e-05,0.0031703690509385534,0.011314044445882448,0.005972682430888334,2.6460741769022273e-07,2.4420110210501244e-05,0.00019665248531992266,5.652752075553965e-05
G2.3.2,25,50,1.387501833960414e-05,0.0029015420004725456,0.010460541001521051,0.005495082994457334,1.4625024050474167e-05,0.0033169169910252094,0.011468791984952986,0.006062207976356149,1.4030369294976646e-05,0.0029601751440604214,0.010570773265422566,0.005606884050947827,2.1256610291340137e-07,2.216348337240159e-05,0.0001544795348297636,4.89115208157426e-05
G2.3.3,25,50,1.4958030078560114e-05,0.0031306250020861626,0.011321500001940876,0.005946374963968992,1.6041973140090704e-05,0.0035543330013751984,0.013888707966543734,0.00652254099259153,1.5175004955381155e-05,0.003188429554575123,0.011484958373661026,0.0060695659877161405,4.846501166162339e-07,3.7064777783034196e-05,0.0002841727310213991,5.535322338020878e-05
G4.2.1,25,50,1.491699367761612e-05,0.003268625005148351,0.011632583977188915,0.005687166994903237,1.5666009858250618e-05,0.0036172500113025308,0.01397845905739814,0.006535792024806142,1.5111164733146628e-05,0.003332949414034374,0.01189869461403064,0.005802027241853383,2.769000391099035e-07,2.395920280702317e-05,0.00027995050653697144,6.113144037306943e-05
